query_id	doc_id	relevance
000-000	8129623	1
000-000	8108181	1
000-000	8033116	1
000-000	8033692	1
000-000	8134811	1
000-000	8033691	2
000-000	8126730	1
000-000	8125986	1
000-000	8120031	0
000-000	8121793	1
000-000	8130177	1
000-000	8153532	0
000-000	8144909	0
000-000	8033239	1
000-000	8032716	2
000-000	8141907	0
000-000	8033607	1
000-000	8051818	2
000-000	8184005	0
000-000	8051813	0
000-000	8160993	1
000-000	8143218	1
000-000	8051827	1
000-000	8127389	0
000-000	8126985	1
000-000	8033072	1
000-000	8113205	1
000-000	8115945	2
000-000	8137558	0
000-000	8128467	1
000-000	8110960	0
000-000	8182233	1
000-000	8113924	1
000-000	8143574	0
000-000	8191956	0
000-000	8184240	0
000-000	8117798	0
000-000	8242683	1
000-000	8143927	0
000-000	8144128	1
000-000	8139214	0
000-000	8145190	1
000-000	8180868	0
000-000	8130031	1
000-000	8143083	1
000-000	8120722	0
000-000	8182353	1
000-000	8111021	1
000-000	8105993	1
000-000	8109574	1
000-001	8129623	1
000-001	8108181	1
000-001	8033692	1
000-001	8033116	1
000-001	8134811	1
000-001	8033691	1
000-001	8125986	1
000-001	8126730	1
000-001	8141907	0
000-001	8120031	0
000-001	8121793	1
000-001	8051813	0
000-001	8130177	0
000-001	8033607	1
000-001	8051827	1
000-001	8144909	0
000-001	8113205	1
000-001	8184005	0
000-001	8032716	0
000-001	8160993	0
000-001	8153532	1
000-001	8033239	0
000-001	8120722	1
000-001	8143218	0
000-001	8051818	0
000-001	8110960	1
000-001	8184240	1
000-001	8033072	1
000-001	8117798	1
000-001	8143927	0
000-001	8242683	1
000-001	8144128	1
000-001	8182233	1
000-001	8139214	1
000-001	8130031	0
000-001	8180868	0
000-001	8145190	1
000-001	8182353	1
000-001	8143083	1
000-001	8115945	1
000-001	8111021	1
000-001	8127389	0
000-001	8113924	1
000-001	8105993	1
000-001	8143574	0
000-001	8126985	1
000-001	8191956	1
000-001	8192663	2
000-001	8181517	1
000-001	8181150	1
000-002	8129623	1
000-002	8108181	1
000-002	8033116	1
000-002	8033692	1
000-002	8134811	1
000-002	8033691	1
000-002	8126730	1
000-002	8125986	1
000-002	8120031	0
000-002	8121793	1
000-002	8130177	0
000-002	8141907	0
000-002	8033607	1
000-002	8144909	1
000-002	8153532	1
000-002	8184005	1
000-002	8051813	1
000-002	8160993	0
000-002	8051827	1
000-002	8143218	1
000-002	8051818	0
000-002	8032716	0
000-002	8033239	0
000-002	8143927	2
000-002	8126985	1
000-002	8110960	1
000-002	8113205	1
000-002	8182233	1
000-002	8143574	1
000-002	8127389	1
000-002	8115945	1
000-002	8191956	1
000-002	8184240	0
000-002	8033072	1
000-002	8117798	0
000-002	8242683	1
000-002	8144128	1
000-002	8139214	1
000-002	8130031	0
000-002	8182353	2
000-002	8180868	0
000-002	8143083	1
000-002	8111021	1
000-002	8145190	1
000-002	8105993	1
000-002	8109574	1
000-002	8113924	1
000-002	8120722	1
000-002	8186124	0
000-002	8128467	0
001-000	8135271	2
001-000	8113606	2
001-000	8120383	0
001-000	8191530	2
001-000	8051590	1
001-000	8182185	2
001-000	8032980	0
001-000	8033544	0
001-000	8032212	1
001-000	8122949	2
001-000	8134015	2
001-000	8117242	0
001-000	8120694	0
001-000	8130284	1
001-000	8119406	0
001-000	8144136	0
001-000	8166337	2
001-000	8049364	0
001-000	8156651	2
001-000	8145625	0
001-000	8138998	1
001-000	8113946	0
001-000	8126970	0
001-000	8051591	2
001-000	8032979	0
001-000	8131803	1
001-000	8133942	2
001-000	8124592	0
001-000	8181841	0
001-000	8181791	0
001-000	8115984	0
001-000	8130525	0
001-000	8118348	0
001-000	8131918	0
001-000	8106766	0
001-000	8133776	0
001-000	8190601	0
001-000	8036663	0
001-000	8137209	0
001-000	8131324	0
001-000	8163737	0
001-000	8181807	0
001-000	8128629	0
001-000	8121655	0
001-000	8152389	0
001-000	8120181	0
001-000	8112017	0
001-000	8031979	0
001-000	8050546	0
001-000	8053481	0
001-001	8135271	1
001-001	8120383	0
001-001	8113606	1
001-001	8122949	0
001-001	8049364	2
001-001	8051590	0
001-001	8144136	0
001-001	8032980	0
001-001	8033544	0
001-001	8144747	0
001-001	8119406	0
001-001	8128578	0
001-001	8032210	0
001-001	8126799	0
001-001	8117242	0
001-001	8156651	1
001-001	8126970	0
001-001	8046314	0
001-001	8111056	0
001-001	8134290	0
001-001	8120694	0
001-001	8134015	0
001-001	8191530	0
001-001	8182046	0
001-001	8135930	2
001-001	8131803	2
001-001	8115984	0
001-001	8152389	0
001-001	8130525	0
001-001	8115570	0
001-001	8119753	0
001-001	8130624	0
001-001	8111093	0
001-001	8181636	0
001-001	8118348	0
001-001	8142850	0
001-001	8118819	0
001-001	8163737	0
001-001	8181841	0
001-001	8180890	0
001-001	8181791	0
001-001	8124180	0
001-001	8126862	0
001-001	8046297	0
001-001	8052591	0
001-001	8048895	0
001-001	8112878	0
001-001	8105759	0
001-001	8109669	0
001-001	8130284	1
001-002	8113606	2
001-002	8120383	0
001-002	8135271	0
001-002	8032980	0
001-002	8122949	2
001-002	8144136	0
001-002	8051590	2
001-002	8033544	2
001-002	8130284	1
001-002	8032979	1
001-002	8049364	1
001-002	8032981	0
001-002	8111056	2
001-002	8120694	0
001-002	8114894	2
001-002	8191530	0
001-002	8119406	0
001-002	8134015	2
001-002	8156651	2
001-002	8117242	0
001-002	8128578	0
001-002	8128913	0
001-002	8031979	2
001-002	8145625	0
001-002	8051591	2
001-002	8131803	2
001-002	8181807	2
001-002	8181841	0
001-002	8115984	0
001-002	8181791	0
001-002	8152389	0
001-002	8126970	0
001-002	8052442	0
001-002	8130525	0
001-002	8137209	0
001-002	8119753	0
001-002	8118348	0
001-002	8181497	0
001-002	8111093	0
001-002	8106766	0
001-002	8127273	1
001-002	8131918	0
001-002	8180881	0
001-002	8134230	0
001-002	8181636	0
001-002	8142850	0
001-002	8163737	0
001-002	8128629	0
001-002	8053481	0
001-002	8121655	0
002-000	8188092	1
002-000	8158586	2
002-000	8160848	1
002-000	8167232	1
002-000	8153941	1
002-000	8191294	1
002-000	8151559	1
002-000	8157837	1
002-000	8185489	1
002-000	8192865	1
002-000	8148477	2
002-000	8192173	2
002-000	8158467	1
002-000	8161291	0
002-000	8143809	2
002-000	8166217	1
002-000	8192640	1
002-000	8161973	1
002-000	8160587	1
002-000	8033660	2
002-000	8032077	0
002-000	8193264	2
002-000	8032034	1
002-000	8148363	1
002-000	8045248	2
002-000	8167688	2
002-000	8156533	1
002-000	8032113	1
002-000	8137420	2
002-000	8164644	0
002-000	8152748	1
002-000	8150120	0
002-000	8185056	2
002-000	8160833	1
002-000	8185567	2
002-000	8134795	1
002-000	8033324	0
002-000	8160078	1
002-000	8049776	1
002-000	8049771	1
002-000	8157179	1
002-000	8165631	1
002-000	8038212	1
002-000	8040199	1
002-000	8160361	1
002-000	8033661	1
002-000	8166542	1
002-000	8165097	1
002-000	8193113	1
002-000	8156505	1
002-001	8188092	2
002-001	8158586	0
002-001	8160848	2
002-001	8191294	2
002-001	8153941	2
002-001	8167232	0
002-001	8151559	1
002-001	8157837	2
002-001	8192865	2
002-001	8148477	1
002-001	8185489	2
002-001	8166217	2
002-001	8161973	2
002-001	8032077	2
002-001	8161291	1
002-001	8160587	2
002-001	8158467	1
002-001	8192173	0
002-001	8192640	2
002-001	8152978	2
002-001	8148363	2
002-001	8143809	0
002-001	8165097	2
002-001	8033660	2
002-001	8032034	2
002-001	8033666	2
002-001	8150120	0
002-001	8192057	2
002-001	8164644	0
002-001	8167688	2
002-001	8032113	2
002-001	8049774	0
002-001	8134795	1
002-001	8160833	2
002-001	8185567	0
002-001	8137420	0
002-001	8160078	2
002-001	8106897	0
002-001	8049776	2
002-001	8049771	2
002-001	8165631	1
002-001	8157179	2
002-001	8040199	2
002-001	8049800	2
002-001	8166542	1
002-001	8193113	0
002-001	8193264	2
002-001	8149667	2
002-001	8185056	2
002-001	8160217	1
002-002	8158586	1
002-002	8160848	1
002-002	8157837	1
002-002	8153941	1
002-002	8188092	1
002-002	8191294	1
002-002	8167064	1
002-002	8158467	1
002-002	8192865	1
002-002	8151559	1
002-002	8148477	1
002-002	8143809	1
002-002	8033660	1
002-002	8185489	1
002-002	8192640	1
002-002	8167232	1
002-002	8049778	1
002-002	8032077	0
002-002	8161973	1
002-002	8045991	1
002-002	8049782	1
002-002	8193264	1
002-002	8049797	1
002-002	8157179	1
002-002	8161291	1
002-002	8167688	1
002-002	8160587	2
002-002	8164644	0
002-002	8032113	1
002-002	8162893	1
002-002	8163737	0
002-002	8137420	0
002-002	8185567	0
002-002	8160078	1
002-002	8049776	1
002-002	8049771	1
002-002	8033661	1
002-002	8166159	1
002-002	8166542	1
002-002	8193113	1
002-002	8192687	0
002-002	8033324	2
002-002	8198091	1
002-002	8183786	0
002-002	8138491	0
002-002	8153920	0
002-002	8042130	0
002-002	8129849	0
002-002	8152027	0
002-002	8149862	0
003-000	8181734	1
003-000	8121410	1
003-000	8110036	1
003-000	8145538	0
003-000	8115386	0
003-000	8108670	1
003-000	8142524	1
003-000	8181830	2
003-000	8113564	0
003-000	8183631	1
003-000	8143288	1
003-000	8184136	0
003-000	8141266	1
003-000	8183361	0
003-000	8183157	1
003-000	8180795	1
003-000	8125958	0
003-000	8184272	1
003-000	8125717	0
003-000	8139385	1
003-000	8111501	1
003-000	8119837	1
003-000	8119480	0
003-000	8123629	0
003-000	8131012	1
003-000	8132784	1
003-000	8114092	0
003-000	8120558	0
003-000	8141328	1
003-000	8142401	1
003-000	8145899	0
003-000	8145378	0
003-000	8144020	0
003-000	8131398	0
003-000	8106048	1
003-000	8127941	0
003-000	8105606	1
003-000	8184320	0
003-000	8111847	0
003-000	8182176	0
003-000	8182333	0
003-000	8121335	1
003-000	8115541	1
003-000	8183776	1
003-000	8184117	1
003-000	8117889	1
003-000	8128318	1
003-000	8131149	1
003-000	8123394	0
003-000	8183310	1
003-001	8181734	1
003-001	8121410	1
003-001	8110036	1
003-001	8184136	0
003-001	8145538	0
003-001	8108670	1
003-001	8142524	1
003-001	8125717	0
003-001	8181830	1
003-001	8119837	1
003-001	8115386	0
003-001	8183157	1
003-001	8125958	0
003-001	8128318	1
003-001	8143288	1
003-001	8111501	1
003-001	8180795	1
003-001	8183361	0
003-001	8144020	0
003-001	8145378	0
003-001	8123629	0
003-001	8116313	0
003-001	8113564	0
003-001	8141266	1
003-001	8184085	0
003-001	8105606	1
003-001	8127941	1
003-001	8184320	0
003-001	8182333	0
003-001	8182176	0
003-001	8114092	0
003-001	8111847	0
003-001	8120558	0
003-001	8121335	0
003-001	8141328	1
003-001	8115541	1
003-001	8132784	0
003-001	8183776	1
003-001	8131149	0
003-001	8183310	1
003-001	8117889	1
003-001	8145741	1
003-001	8142401	1
003-001	8145899	0
003-001	8184117	1
003-001	8120253	1
003-001	8142464	1
003-001	8139385	1
003-001	8118016	1
003-001	8120613	1
003-002	8181734	2
003-002	8121410	2
003-002	8110036	2
003-002	8115386	0
003-002	8145538	1
003-002	8142524	2
003-002	8108670	2
003-002	8183157	2
003-002	8184117	2
003-002	8143288	2
003-002	8125958	1
003-002	8184136	1
003-002	8125717	0
003-002	8181830	2
003-002	8111501	2
003-002	8180795	2
003-002	8123394	2
003-002	8145378	1
003-002	8144020	1
003-002	8118016	2
003-002	8119837	2
003-002	8141328	2
003-002	8139385	2
003-002	8113564	1
003-002	8145899	1
003-002	8124980	2
003-002	8183361	2
003-002	8137524	2
003-002	8106800	2
003-002	8181106	1
003-002	8112660	2
003-002	8127941	2
003-002	8105606	2
003-002	8184320	0
003-002	8115541	2
003-002	8183776	2
003-002	8132784	1
003-002	8131149	2
003-002	8117889	1
003-002	8142401	2
003-002	8184272	2
003-002	8142464	2
003-002	8128318	2
003-002	8124347	2
003-002	8123629	1
003-002	8242300	2
003-002	8120613	2
003-002	8049976	2
003-002	8131398	0
003-002	8131012	2
004-000	8117126	2
004-000	8126799	1
004-000	8130680	2
004-000	8118264	0
004-000	8035999	2
004-000	8121283	0
004-000	8183328	2
004-000	8044957	1
004-000	8105705	2
004-000	8130253	2
004-000	8130574	1
004-000	8145865	2
004-000	8106122	2
004-000	8111379	2
004-000	8045322	2
004-000	8135951	1
004-000	8183636	2
004-000	8118506	1
004-000	8131206	2
004-000	8140737	2
004-000	8139639	2
004-000	8130627	2
004-000	8143870	2
004-000	8181855	2
004-000	8116999	2
004-000	8182990	0
004-000	8130624	2
004-000	8144055	1
004-000	8182490	2
004-000	8130448	2
004-000	8118819	1
004-000	8126209	2
004-000	8124180	0
004-000	8114046	0
004-000	8125958	0
004-000	8121751	0
004-000	8181341	0
004-000	8182039	2
004-000	8123293	0
004-000	8107848	2
