query_id	doc_id	relevance
000-000	8137706	1
000-000	8139169	2
000-000	8107536	2
000-000	8242703	1
000-000	8145394	0
000-000	8114378	1
000-000	8033644	0
000-000	8133617	0
000-000	8144597	0
000-000	8146014	0
000-000	8142236	0
000-000	8132297	0
000-000	8146963	0
000-000	8140552	0
000-000	8137662	1
000-000	8133858	1
000-000	8132561	0
000-000	8116097	0
000-000	8109009	0
000-000	8136284	0
000-000	8033562	0
000-000	8131003	1
000-000	8132826	0
000-000	8242708	1
000-000	8141219	0
000-000	8139169	2
000-000	8033644	0
000-000	8384124	0
000-000	8441855	0
000-000	8441767	2
000-000	8180710	0
000-000	8385637	0
000-000	8039079	2
000-000	8044597	0
000-000	8044598	1
000-000	8035506	1
000-000	8052513	2
000-000	8145394	0
000-000	8039080	2
000-000	8044602	2
000-000	8138320	2
000-000	8041009	0
000-000	8269413	0
000-000	8033045	0
000-000	8045208	0
000-000	8041007	0
000-000	8441751	2
000-000	8198174	1
000-000	8151308	1
000-000	8033047	0
001-000	8166602	2
001-000	8147422	2
001-000	8153554	2
001-000	8125089	0
001-000	8138344	2
001-000	8043280	0
001-000	8035701	1
001-000	8040980	2
001-000	8040971	2
001-000	8052821	0
001-000	8125163	0
001-000	8149005	2
001-000	8134874	0
001-000	8162033	2
001-000	8159071	1
001-000	8132741	0
001-000	8113472	0
001-000	8116817	0
001-000	8149764	1
001-000	8037898	0
001-000	8135730	0
001-000	8107272	0
001-000	8135188	0
001-000	8035853	0
001-000	8036830	0
001-000	8267978	2
001-000	8158849	2
001-000	8040980	2
001-000	8147623	2
001-000	8040977	2
001-000	8149764	1
001-000	8040969	2
001-000	8412932	2
001-000	8054232	2
001-000	8040974	2
001-000	8341914	1
001-000	8040971	2
001-000	8033759	1
001-000	8038496	2
001-000	8149005	2
001-000	8159610	1
001-000	8130181	1
001-000	8138076	2
001-000	8168511	2
001-000	8158231	2
001-000	8268351	2
001-000	8040997	1
001-000	8164556	0
001-000	8040976	1
001-000	8345499	2
002-000	8157539	2
002-000	8192478	2
002-000	8163839	2
002-000	8161435	2
002-000	8189296	2
002-000	8106847	0
002-000	8147169	0
002-000	8163337	0
002-000	8192638	1
002-000	8165588	1
002-000	8046425	0
002-000	8152393	0
002-000	8040025	1
002-000	8163600	1
002-000	8149492	2
002-000	8159778	1
002-000	8042326	0
002-000	8150792	1
002-000	8159886	1
002-000	8189848	1
002-000	8154797	2
002-000	8150332	1
002-000	8190980	1
002-000	8191505	2
002-000	8160297	2
002-000	8157539	2
002-000	8147169	0
002-000	8189296	2
002-000	8348278	2
002-000	8161131	2
002-000	8149492	2
002-000	8378385	0
002-000	8162444	1
002-000	8163337	0
002-000	8268500	0
002-000	8479591	0
002-000	8186412	0
002-000	8037044	0
002-000	8040025	1
002-000	8411179	0
002-000	8480245	0
002-000	8159886	1
002-000	8344570	1
002-000	8348811	0
002-000	8481155	0
002-000	8346789	2
002-000	8160297	2
002-000	8482836	0
002-000	8444993	0
002-000	8046396	1
003-000	8188072	0
003-000	8187736	0
003-000	8184975	1
003-000	8190697	0
003-000	8188489	0
003-000	8184783	2
003-000	8197158	0
003-000	8189566	0
003-000	8185317	1
003-000	8185251	2
003-000	8188233	1
003-000	8188374	1
003-000	8186915	0
003-000	8197803	0
003-000	8184642	2
003-000	8185208	1
003-000	8191618	0
003-000	8188805	0
003-000	8184787	0
003-000	8197589	0
003-000	8191684	0
003-000	8132424	1
003-000	8190510	0
003-000	8050876	0
003-000	8050905	2
003-000	8050858	1
003-000	8188233	1
003-000	8050924	0
003-000	8187948	2
003-000	8191885	2
003-000	8185777	2
003-000	8311580	0
003-000	8185251	2
003-000	8197192	1
003-000	8185317	1
003-000	8050788	0
003-000	8190511	1
003-000	8384843	0
003-000	8383715	0
003-000	8306762	2
003-000	8188374	1
003-000	8184783	2
003-000	8197351	0
003-000	8050900	2
003-000	8050962	0
003-000	8050905	2
003-000	8050914	2
003-000	8050899	2
003-000	8050868	1
003-000	8310439	2
004-000	8187207	2
004-000	8187928	2
004-000	8152209	2
004-000	8185056	0
004-000	8185083	1
004-000	8151456	2
004-000	8161622	2
004-000	8151691	2
004-000	8191294	1
004-000	8150464	1
004-000	8193264	0
004-000	8042121	1
004-000	8192640	0
004-000	8160587	0
004-000	8039130	1
004-000	8033658	0
004-000	8033683	2
004-000	8150116	2
004-000	8126995	0
004-000	8188620	0
004-000	8161590	0
004-000	8151712	2
004-000	8137141	1
004-000	8149391	0
004-000	8166159	0
004-000	8187928	2
004-000	8185083	1
004-000	8151456	2
004-000	8151691	2
004-000	8049155	2
004-000	8190333	2
004-000	8268564	2
004-000	8151712	2
004-000	8152209	2
004-000	8042121	1
004-000	8157618	1
004-000	8033658	0
004-000	8039130	1
004-000	8269522	1
004-000	8349152	0
004-000	8152023	0
004-000	8341859	1
004-000	8269782	0
004-000	8168024	0
004-000	8412125	0
004-000	8152062	0
004-000	8268227	0
004-000	8187862	0
004-000	8347483	0
004-000	8412255	0
005-000	8154026	0
005-000	8108120	2
005-000	8116055	0
005-000	8111780	2
005-000	8119616	2
005-000	8148270	0
005-000	8126716	0
005-000	8163490	2
005-000	8047553	0
005-000	8114390	2
005-000	8162646	0
005-000	8129896	0
005-000	8153598	0
005-000	8115071	0
005-000	8149727	0
005-000	8119459	0
005-000	8154101	0
005-000	8115648	0
005-000	8150039	0
005-000	8123818	0
005-000	8052814	0
005-000	8154297	0
005-000	8110536	0
005-000	8147590	1
005-000	8108651	1
005-000	8314422	2
005-000	8311076	2
005-000	8032615	0
005-000	8311736	1
005-000	8107635	0
005-000	8108120	2
005-000	8119616	2
005-000	8033481	2
005-000	8111505	0
005-000	8122581	0
005-000	8054133	0
005-000	8148746	2
005-000	8312769	2
005-000	8307790	0
005-000	8033480	2
005-000	8129896	0
005-000	8287402	2
005-000	8316931	1
005-000	8311909	0
005-000	8154026	0
005-000	8115935	1
005-000	8116055	1
005-000	8154297	0
005-000	8110536	0
005-000	8309160	0
006-000	8032295	0
006-000	8150222	2
006-000	8032715	0
006-000	8158927	2
006-000	8042893	2
006-000	8166984	1
006-000	8032946	0
006-000	8138390	0
006-000	8042067	0
006-000	8189566	0
006-000	8131415	0
006-000	8042116	0
006-000	8108166	0
006-000	8130562	0
006-000	8035850	0
006-000	8135539	0
006-000	8188489	0
006-000	8152739	0
006-000	8050685	0
006-000	8132424	0
006-000	8162651	0
006-000	8032114	0
006-000	8138256	0
006-000	8117087	0
006-000	8191684	0
006-000	8158465	1
006-000	8150222	1
006-000	8479790	1
006-000	8307423	2
006-000	8481037	1
006-000	8306181	0
006-000	8314512	2
006-000	8042893	2
006-000	8038499	2
006-000	8306817	1
006-000	8038608	2
006-000	8315749	0
006-000	8046151	0
006-000	8312732	1
006-000	8033649	0
006-000	8309981	0
006-000	8314627	2
006-000	8312256	0
006-000	8342620	0
006-000	8477858	0
006-000	8482287	0
006-000	8315374	0
006-000	8311635	1
006-000	8148160	1
006-000	8040093	1
007-000	8154747	1
007-000	8162257	1
007-000	8152120	1
007-000	8154399	1
007-000	8160832	1
007-000	8162991	1
007-000	8147310	1
007-000	8190582	1
007-000	8151761	1
007-000	8162381	1
007-000	8045987	1
007-000	8197302	1
007-000	8165308	1
007-000	8191934	1
007-000	8184915	1
007-000	8155619	1
007-000	8156824	1
007-000	8045056	0
007-000	8052889	0
007-000	8154269	0
007-000	8166783	1
007-000	8161155	0
007-000	8189564	1
007-000	8189930	0
007-000	8165783	0
007-000	8197302	1
007-000	8306330	1
007-000	8340646	1
007-000	8162381	1
007-000	8268164	1
007-000	8343220	0
007-000	8048616	1
007-000	8311933	0
007-000	8052889	0
007-000	8344059	1
007-000	8151761	1
007-000	8165308	1
007-000	8382527	1
007-000	8346308	1
007-000	8048617	1
007-000	8147161	0
007-000	8149974	1
007-000	8157787	1
007-000	8184915	1
007-000	8188121	0
007-000	8154269	0
007-000	8045056	0
007-000	8347652	1
007-000	8157119	1
007-000	8270256	0
008-000	8191294	1
008-000	8167688	1
008-000	8164644	0
008-000	8160587	1
008-000	8032113	1
008-000	8137420	0
008-000	8160078	1
008-000	8049776	1
008-000	8165631	0
008-000	8166542	1
008-000	8193113	1
008-000	8106897	0
008-000	8033324	0
008-000	8198091	1
008-000	8183786	0
008-000	8138491	0
008-000	8149862	1
008-000	8042130	0
008-000	8049196	1
008-000	8132735	1
008-000	8181841	0
008-000	8115984	0
008-000	8131935	0
008-000	8120395	0
008-000	8193401	0
008-000	8381619	1
008-000	8380716	1
008-000	8346296	1
008-000	8192865	1
008-000	8270194	1
008-000	8148477	1
008-000	8192640	1
008-000	8157837	1
008-000	8153941	1
008-000	8049778	1
008-000	8193264	0
008-000	8033660	1
008-000	8342162	1
008-000	8412125	0
008-000	8150543	1
008-000	8049797	0
008-000	8269324	1
008-000	8346700	1
008-000	8158467	0
008-000	8268146	1
008-000	8049781	1
008-000	8162839	2
008-000	8049771	1
008-000	8342107	0
008-000	8346913	1
009-000	8141382	2
009-000	8123090	0
009-000	8168885	0
009-000	8148114	1
009-000	8118064	0
009-000	8118286	0
009-000	8128623	0
009-000	8146251	0
009-000	8164584	0
009-000	8115776	0
009-000	8106825	0
009-000	8168103	0
009-000	8109418	0
009-000	8124918	1
009-000	8127340	0
009-000	8038922	1
009-000	8123247	0
009-000	8042267	0
009-000	8125437	0
009-000	8110635	0
009-000	8149644	0
009-000	8108341	0
009-000	8119675	0
009-000	8128483	0
009-000	8048270	0
009-000	8141382	2
009-000	8443329	2
009-000	8118064	0
009-000	8146251	0
009-000	8168885	0
009-000	8318473	0
009-000	8309680	1
009-000	8038060	0
009-000	8118286	0
009-000	8383481	0
009-000	8317847	2
009-000	8380834	0
009-000	8382400	0
009-000	8124918	1
009-000	8123709	0
009-000	8148114	0
009-000	8411748	0
009-000	8044119	0
009-000	8311500	0
009-000	8313754	0
009-000	8378682	0
009-000	8052758	0
009-000	8127140	0
009-000	8032774	0
009-000	8040418	0
